ID	Acct_Sched	Asset_Seq_Nbr	OEC_on_Asset	Residual	Depreciation_Type	Depreciation_Cnt	Tax_Inservice_Date	Salvage_Amt	Date_In_Service	Funding_Date	Asset_Cap_Fees	
59	5447422003	0001	14116.61	0.00	18	60	07/31/2010	0.00	7/31/2010	9/22/2010	882.28	
60	5452558166	0001	23269.25	0.00	18	60	08/20/2010	0.00	8/20/2010	9/1/2010	0.00	
61	5458477009	0001	26194.89	0.00	18	60	08/27/2010	0.00	8/27/2010	8/27/2010	917.04	
62	5470344003	0001	6298.56	0.00	16	0	09/01/2010	0.00	9/1/2010	9/8/2010	0.00	
63	5519313120	0001	46542.50	10000.00	12	60	07/31/2008	3837.01	7/15/2007		0.00	
64	6305403012	0001	20067.34	2668.96	18	60	09/03/2010	0.00	9/3/2010	9/3/2010	0.00	
65	6538704010	0001	11105.71	777.40	18	60	09/10/2010	0.00	9/10/2010	9/15/2010	616.96	
66	6538704010	0002	11105.71	777.40	18	60	09/10/2010	0.00	9/10/2010	9/15/2010	616.96	
67	6538704010	0003	7788.58	545.20	18	60	09/10/2010	0.00	9/10/2010	9/15/2010	616.95	
68	6692167004	0001	12527.95	977.18	18	60	09/13/2010	0.00	9/13/2010	9/13/2010	0.00	
69	6692167004	0002	0.94	0.00	18	60	09/13/2010	0.00	9/13/2010	9/13/2010	0.00	
70	6692167004	0003	0.94	0.00	18	60	09/13/2010	0.00	9/13/2010	9/13/2010	0.00	
71	6692167004	0004	0.94	0.00	18	60	09/13/2010	0.00	9/13/2010	9/13/2010	0.00	
72	6692167004	0005	0.94	0.00	18	60	09/13/2010	0.00	9/13/2010	9/13/2010	0.00	
73	6692167004	0006	0.94	0.00	18	60	09/13/2010	0.00	9/13/2010	9/13/2010	0.00	
74	6692167004	0007	0.94	0.00	18	60	09/13/2010	0.00	9/13/2010	9/13/2010	0.00	
75	6692167004	0008	0.94	0.00	18	60	09/13/2010	0.00	9/13/2010	9/13/2010	0.00	
76	6692167004	0009	0.97	0.00	18	60	09/13/2010	0.00	9/13/2010	9/13/2010	0.00	
77	6734489416	0001	8470.39	525.16	18	60	08/15/2010	0.00	8/15/2010	9/3/2010	0.00	
78	6739463019	0001	20260.92	2026.09	18	60	09/09/2010	0.00	9/9/2010	9/9/2010	0.00	
79	6768298019	0001	3470.62	0.00	16	0	09/15/2010	0.00	9/15/2010	9/15/2010	0.00	
80	6800321009	0001	18829.17	711.74	18	60	08/30/2010	0.00	8/30/2010	8/30/2010	0.00	
81	6802563010	0001	7014.04	610.22	18	60	09/01/2010	0.00	9/1/2010	9/7/2010	0.00	
82	6893567010	0001	204391.77	0.00	16	0	09/24/2010	0.00	9/24/2010	9/24/2010	0.00	
83	6988608006	0001	29500.00	1955.85	18	60	09/02/2010	0.00	9/2/2010	9/2/2010	0.00	
84	7055799008	0001	3166.02	348.26	12	72	09/03/2010	0.00	9/3/2010	9/3/2010	0.00	
85	7102880037	0001	3113.57	0.00	16	0	08/18/2010	0.00	8/18/2010	9/9/2010	0.00	
86	7102880037	0002	3113.57	0.00	16	0	08/18/2010	0.00	8/18/2010	9/9/2010	0.00	
87	7137169003	0001	5026.36	0.00	16	0	09/20/2010	0.00	9/20/2010	9/20/2010	0.00	
88	7479157664	0001	6901.00	543.45	18	60	08/25/2010	543.45	8/25/2010	8/25/2010	345.05	
89	7479157697	0001	6901.00	552.08	18	60	09/22/2010	552.08	9/22/2010	9/22/2010	0.00	
90	7513862004	0001	1131.55	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
91	7513862004	0002	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
