ID	Account_Schedule_Nbr	IDMS_Region	Commencement_Date	Purchase_Date	First_Due	Term	Frequency	Adv/Arr	Interim_rent	Income_Type_Fees	Expense_Type_Fees	Guaranteed_Residual	Booking_Date	Product	Tax_Class	FASB_Class	Security_Deposit_amount	Funding_Date	Location	Yield	Residual_Insurance_Premium_Pct	Book_Yield	
34	7479157664	PB	8/25/2010	08/25/2010	10/15/2010	51	Q	ARR		0.00	897.13	0.00	8/30/2010	OPERLS	N/A	N/A	0.00	08/25/2010	KMPNAP	9.51 %	1.20	19.28	
35	7479157697	PB	9/22/2010	09/22/2010	10/15/2010	51	Q	ARR		0.00	897.13	0.00	9/24/2010	OPERLS	N/A	N/A	0.00	09/22/2010	KMPNAP	9.69 %	1.20	9.51	
36	7513862004	PB	8/27/2010	08/27/2010	8/27/2010	36	M	ADV		0.00	1094.21	0.00	8/31/2010	MENQSI	N/A	N/A	0.00	08/27/2010	XAPPLE	10.26 %	1.20	9.69	
37	7631177001	PB	1/8/2010	01/08/2010	2/8/2010	48	M	ARR		0.00	362.12	0.00	1/12/2010	SGLINV	N/A	N/A	0.00	01/08/2010	KONNAP	9.45 %	1.20	10.26	
38	7686175001	PB	9/20/2010	09/20/2010	9/20/2010	36	A	ADV		0.00	1235.07	0.00	9/21/2010	MENQSI	N/A	N/A	0.00	09/20/2010	XAPPLE	9.90 %	1.20	9.42	
39	7689283002	PB	10/2/2010	09/02/2010	10/2/2010	36	M	ARR		75.00	0.00	0.00	9/4/2010	MENQSI	N/A	N/A	0.00	09/02/2010	TRAD	18.64 %	1.20	9.90	
40	7702549001	PB	9/20/2010	09/20/2010	9/20/2010	36	A	ADV		0.00	370.83	0.00	9/21/2010	MENQSI	N/A	N/A	0.00	09/20/2010	XAPPLE	12.02 %	1.20	18.64	
41	7707516001	PB	9/9/2010	09/09/2010	9/9/2010	36	A	ADV		507.61	0.00	0.00	9/13/2010	MEQMUN	N/A	N/A	0.00	09/09/2010	XAPPLE	9.60 %	1.20	12.02	
42	7708240002	PB	9/20/2010	09/20/2010	10/20/2010	39	M	ARR		75.00	0.00	0.00	9/22/2010	MEQMUN	N/A	N/A	0.00	09/20/2010	TRAD	22.74 %	1.20	6.24	
43	7708240007	PB	9/21/2010	09/21/2010	10/21/2010	39	M	ARR		75.00	0.00	0.00	9/23/2010	MEQMUN	N/A	N/A	0.00	09/21/2010	TRAD	22.75 %	1.20	14.78	
44	8303003009	PA	9/1/2010	09/01/2010	10/1/2010	60	M	ARR		319.82	11.44	0.00	9/17/2010	SGLINV	N/A	N/A	0.00	09/16/2010	YALE	8.39 %	1.20	14.79	
45	8388045002	PA	10/24/2010	09/24/2010	10/24/2010	48	M	ARR		1899.45	0.00	0.00	9/24/2010	MEREG	N/A	N/A	0.00	09/24/2010	CSCNST	6.83 %	1.20	8.39	
46	8418375001	PA	9/25/2009	09/25/2009	11/1/2009	48	M	ARR		500.00	2236.68	0.00	9/29/2009	SGLINV	N/A	N/A	103302.27	09/25/2009	CTCNWN	10.66 %	1.20	6.83	
47	8422735089	PA	9/1/2010	08/24/2010	10/1/2010	36	M	ARR	144.72	0.00	1545.39	0.00	8/31/2010	OPERLS	N/A	N/A	0.00	08/30/2010	CTFORN	7.09 %	1.20	10.66	
48	8438817005	PA	10/1/2010	09/06/2010	11/1/2010	36	M	ARR	518.51	0.00	983.18	0.00	9/16/2010	OPERLS	N/A	N/A	0.00	09/14/2010	CTFORN	10.95 %	1.20	7.09	
49	8440647047	PA	9/15/2010	09/08/2010	10/15/2010	36	M	ARR	37.27	0.00	0.00	0.00	9/24/2010	SGLINV	N/A	N/A	0.00	09/24/2010	IP	11.15 %	1.20	10.95	
50	8440647048	PA	9/15/2010	09/24/2010	10/15/2010	36	M	ARR		0.00	0.00	0.00	9/24/2010	MEOQSI	N/A	N/A	0.00	09/24/2010	IP	10.31 %	1.20	11.15	
51	8443604002	PA	9/1/2010	08/25/2010	10/1/2010	60	M	ARR		0.00	0.00	0.00	8/31/2010	MENQSI	N/A	N/A	0.00	08/31/2010	CREO	5.94 %	1.20	10.31	
52	8448766001	PA	8/16/2010	09/15/2010	10/15/2010	60	M	ARR	171.52	0.00	9452.20	0.00	9/16/2010	MENQSI	N/A	N/A	0.00	09/16/2010	CSTECH	7.93 %	1.20	7.66	
53	8451998005	PA	9/1/2010	08/19/2010	9/1/2010	48	M	ADV	427.67	150.00	43.78	0.00	9/2/2010	SGLINV	N/A	N/A	0.00	08/31/2010	CSMH	10.33 %	1.20	7.93	
54	8452638002	PA	9/1/2010	08/20/2010	10/1/2010	12	M	ARR		2341.68	0.00	0.00	8/31/2010	MEREG	N/A	N/A	0.00	08/30/2010	CTDOON	8.30 %	1.20	10.33	
55	8455408007	PA	9/1/2010	08/25/2010	10/1/2010	24	M	ARR	363.56	0.00	1173.38	8196.04	9/20/2010	SGLINV	N/A	N/A	0.00	09/17/2010	CTFORB	7.76 %	1.20	8.30	
56	8455902001	PA	9/1/2010	08/25/2010	10/1/2010	60	M	ARR	724.50	0.00	4037.67	0.00	9/3/2010	SGLINV	N/A	N/A	0.00	08/30/2010	CSMACH	9.44 %	1.20	7.76	
57	8458233002	PA	9/1/2010	09/01/2010	10/1/2010	60	M	ARR		0.00	330.00	0.00	9/10/2010	MENQSI	N/A	N/A	0.00	09/09/2010	CSPRIN	8.94 %	1.20	9.44	
58	8458823002	PA	10/1/2010	09/24/2010	10/1/2010	49	M	ADV	0.00	0.00	799.46	0.00	9/24/2010	SGLINV	N/A	N/A	0.00	09/24/2010	CSPRIN	8.00 %	1.20	8.94	
59	8459961001	PA	8/28/2010	08/10/2010	9/27/2010	36	M	ARR		1691.14	0.00	0.00	8/30/2010	MEREG	N/A	N/A	0.00	08/27/2010	CTBOBB	9.10 %	1.20	8.00	
60	8461093001	PA	7/2/2010	07/01/2010	8/1/2010	60	M	ARR		0.00	6000.00	0.00	7/12/2010	MEREG	N/A	N/A	1112059.56	07/01/2010	NVESEC	7.18 %	1.20	9.10	
61	8461734001	PA	8/1/2010	07/29/2010	8/1/2010	48	A	ADV		4202.06	280.81	0.00	8/30/2010	SGLINV	N/A	N/A	0.00	08/26/2010	CTBOBN	9.39 %	1.20	7.18	
62	8463787001	PA	9/2/2010	09/02/2010	10/2/2010	60	M	ARR		0.00	837.00	0.00	9/10/2010	MEREG	N/A	N/A	0.00	09/10/2010	CSPRIN	8.58 %	1.20	9.39	
63	8466214001	PA	9/1/2010	08/27/2010	10/1/2010	36	M	ARR		250.00	0.00	0.00	8/31/2010	MEREG	N/A	N/A	0.00	08/27/2010	TRXCON	8.99 %	1.20	8.58	
64	8466512001	PA	8/2/2010	09/01/2010	9/1/2010	60	M	ADV		0.00	646.25	0.00	9/3/2010	MENQSI	N/A	N/A	0.00	09/01/2010	CSWOOD	8.45 %	1.20	8.99	
65	8466583001	PA	9/6/2010	09/06/2010	10/6/2010	36	M	ARR		0.00	55.19	0.00	9/1/2010	SGLINV	N/A	N/A	0.00	08/31/2010	TENANT	12.03 %	1.20	8.45	
66	8467445001	PA	9/15/2010	09/15/2010	9/15/2010	36	M	ADV		0.00	21.05	0.00	9/24/2010	SGLINV	N/A	N/A	0.00	09/24/2010	TRDATA	7.09 %	1.20	12.03	
67	8467961001	PA	9/16/2010	09/16/2010	10/16/2010	36	M	ARR		150.00	0.00	0.00	9/20/2010	MEREG	N/A	N/A	0.00	09/16/2010	CEFSE	8.11 %	1.20	7.09	
68	8469265002	PA	8/20/2010	08/20/2010	10/1/2010	48	M	ARR		0.00	188.94	0.00	8/31/2010	SGLINV	N/A	N/A	0.00	08/27/2010	BARLOW	9.41 %	1.20	8.11	
69	8470538001	PA	9/1/2010	09/01/2010	10/1/2010	36	M	ARR		195.00	0.00	0.00	9/23/2010	MENQSI	N/A	N/A	0.00	09/22/2010	HYSTER	7.87 %	1.20	9.41	
70	8471339001	PA	9/15/2010	09/03/2010	9/15/2010	48	M	ADV		1819.16	92.50	0.00	9/10/2010	SGLINV	N/A	N/A	0.00	09/08/2010	CTBOBN	9.48 %	1.20	7.87	
71	8472117001	PA	9/15/2010	09/15/2010	10/15/2010	60	M	ARR	183.39	0.00	1810.40	0.00	9/16/2010	MENQSI	N/A	N/A	0.00	09/15/2010	CSMACH	7.00 %	1.20	9.48	
72	8473119001	PA	10/2/2010	09/20/2010	11/1/2010	12	M	ARR		2653.23	0.00	0.00	9/23/2010	MENQSI	N/A	N/A	0.00	09/22/2010	CTBOBN	7.83 %	1.20	7.00	
73	8792821039	PA	8/31/2010	08/31/2010	10/1/2010	66	M	ARR		0.00	329.51	0.00	9/2/2010	SGLINV	N/A	N/A	0.00	08/31/2010	BARLOW	8.71 %	1.20	7.83	
74	9636737001	PA	1/1/2005	01/01/2005	1/1/2005	61	M	ARR		0.00	0.00	0.00	2/4/2009	ELTOOL	N/A	N/A	68240.48		CNVSEB	-88.71 %	0.00	8.71	
75	9644934002	PA	10/1/2010	09/24/2010	10/1/2010	60	M	ADV	1436.40	0.00	5968.08	0.00	9/24/2010	SGLINV	N/A	N/A	0.00	09/24/2010	CTCNCN	7.82 %	1.20	-88.71	
76	5420414002	PA	8/28/2010	08/25/2010	9/27/2010	36	M	ARR		4292.95	0.00	0.00	8/31/2010	MEREG	N/A	N/A	0.00	08/27/2010	CTBOBB	8.57 %	1.20	7.82
